1

                                             * * * * * * * * *  L H S  * * * * * * * * *

                                             LATIN HYPERCUBE AND RANDOM SAMPLING PROGRAM

                                             * * * * * * * * * * * * * * * * * * * * * *


    Run on 11/19/25 at  9:23: 1.70 with LHS Version: 2.30 Release 1, Compiled May 31, 2001        
0   69 1.061E+05 0.363    
0   70 1.161E+05 0.352    
0   71 9.428E+04 0.368    
0   72 1.125E+05 0.362    
0   73 1.019E+05 0.360    
0   74 9.276E+04 0.351    
0   75 1.046E+05 0.367    
0   76 1.074E+05 0.367    
0   77 1.043E+05 0.363    
0   78 9.208E+04 0.367    
0   79 9.887E+04 0.357    
0   80 1.341E+05 0.364    
0   81 1.023E+05 0.368    
0   82 1.041E+05 0.352    
0   83 1.373E+05 0.361    
0   84 1.030E+05 0.361    
0   85 1.173E+05 0.357    
0   86 9.301E+04 0.354    
0   87 9.751E+04 0.353    
0   88 9.262E+04 0.352    
0   89 1.241E+05 0.363    
0   90 1.068E+05 0.367    
0   91 1.080E+05 0.368    
0   92 1.194E+05 0.356    
0   93 1.195E+05 0.365    
0   94 9.195E+04 0.363    
0   95 1.294E+05 0.354    
0   96 1.152E+05 0.361    
0   97 1.119E+05 0.367    
0   98 9.494E+04 0.366    
0   99 1.131E+05 0.358    
0  100 9.792E+04 0.368    
0  101 1.252E+05 0.365    
0  102 1.265E+05 0.353    
0  103 1.171E+05 0.353    
0  104 1.359E+05 0.365    
0  105 1.015E+05 0.366    
0  106 1.090E+05 0.368    
0  107 1.182E+05 0.370    
0  108 9.474E+04 0.365    
0  109 1.207E+05 0.369    
0  110 9.011E+04 0.366    
0  111 1.124E+05 0.354    
0  112 1.059E+05 0.363    
0  113 1.286E+05 0.365    
0  114 1.134E+05 0.364    
0  115 1.344E+05 0.356    
0  116 1.145E+05 0.360    
0  117 1.215E+05 0.359    
0  118 9.195E+04 0.354    
0  119 1.263E+05 0.356    
0  120 1.356E+05 0.369    
0  121 1.190E+05 0.352    
0  122 1.238E+05 0.359    
0  123 9.986E+04 0.369    
0  124 1.191E+05 0.365    
0  125 1.210E+05 0.359    
0  126 9.982E+04 0.370    
0  127 1.024E+05 0.363    
0  128 1.095E+05 0.358    
0  129 1.211E+05 0.356    
0  130 1.035E+05 0.363    
0  131 1.099E+05 0.364    
0  132 1.287E+05 0.355    
0  133 1.068E+05 0.366    
0  134 1.012E+05 0.356    
0  135 1.060E+05 0.351    
0  136 9.764E+04 0.368    
0  137 9.448E+04 0.360    
0  138 1.344E+05 0.367    
0  139 1.103E+05 0.356    
0  140 1.292E+05 0.364    
0  141 9.084E+04 0.361    
0  142 1.010E+05 0.353    
0  143 1.027E+05 0.360    
0  144 1.112E+05 0.354    
0  145 1.085E+05 0.351    
0  146 1.117E+05 0.366    
0  147 1.087E+05 0.356    
0  148 1.033E+05 0.368    
0  149 1.198E+05 0.362    
0  150 1.200E+05 0.353    
0  151 1.341E+05 0.369    
0  152 1.224E+05 0.360    
0  153 9.795E+04 0.366    
0  154 1.090E+05 0.367    
0  155 9.397E+04 0.356    
0  156 1.339E+05 0.361    
0  157 1.055E+05 0.369    
0  158 1.360E+05 0.355    
0  159 1.194E+05 0.354    
0  160 1.314E+05 0.369    
0  161 1.295E+05 0.363    
0  162 1.252E+05 0.365    
0  163 1.289E+05 0.359    
0  164 1.374E+05 0.367    
0  165 1.193E+05 0.365    
0  166 1.018E+05 0.358    
0  167 9.524E+04 0.368    
0  168 9.482E+04 0.365    
0  169 1.272E+05 0.366    
0  170 9.099E+04 0.358    
0  171 1.348E+05 0.356    
0  172 1.312E+05 0.367    
0  173 9.646E+04 0.362    
0  174 1.090E+05 0.366    
0  175 1.132E+05 0.350    
0  176 9.696E+04 0.365    
0  177 1.125E+05 0.351    
0  178 1.172E+05 0.366    
0  179 1.355E+05 0.358    
0  180 9.325E+04 0.365    
0  181 1.213E+05 0.359    
0  182 1.059E+05 0.359    
0  183 1.044E+05 0.357    
0  184 9.980E+04 0.351    
0  185 1.226E+05 0.355    
0  186 1.091E+05 0.357    
0  187 1.335E+05 0.354    
0  188 1.172E+05 0.355    
0  189 9.462E+04 0.353    
0  190 1.096E+05 0.354    
0  191 1.103E+05 0.369    
0  192 1.315E+05 0.358    
0  193 1.132E+05 0.351    
0  194 1.353E+05 0.361    
0  195 9.431E+04 0.360    
0  196 1.374E+05 0.363    
0  197 9.000E+04 0.367    
0  198 1.215E+05 0.351    
0  199 1.270E+05 0.366    
0  200 9.111E+04 0.359    
1Pecos::LHSDriver                                                                                 RANDOM SAMPLE               
0RANKS OF RANDOM SAMPLE INPUT VECTORS

 RUN NO.    X(1)      X(2)
0    1        4.       90.
0    2      116.      185.
0    3      195.      186.
0    4       16.      135.
0    5       32.        3.
0    6      170.       76.
0    7      165.      153.
0    8      137.       17.
0    9       57.      110.
0   10       45.      171.
0   11      173.       88.
0   12       29.       69.
0   13       77.       54.
0   14      131.      179.
0   15      143.      103.
0   16      194.       71.
0   17       51.      105.
0   18      164.       42.
0   19        9.       38.
0   20      175.      100.
0   21       87.      175.
0   22      129.      154.
0   23      178.      157.
0   24      171.        5.
0   25       10.       85.
0   26      193.       11.
0   27      141.      183.
0   28       98.      122.
0   29      114.      142.
0   30       39.      124.
0   31       14.      109.
0   32      111.      121.
0   33      154.      174.
0   34      157.      127.
0   35      174.       60.
0   36        3.      199.
0   37      146.       66.
0   38       61.       15.
0   39      182.       82.
0   40      109.       50.
0   41       67.       98.
0   42       62.      130.
0   43        8.      163.
0   44      102.      197.
0   45      127.       61.
0   46      177.      181.
0   47      166.       56.
0   48      186.      170.
0   49       59.      132.
0   50      150.       65.
0   51       41.       97.
0   52      103.      166.
0   53      112.      137.
0   54       90.       26.
0   55       78.      106.
0   56      197.       52.
0   57       95.       89.
0   58      200.      112.
0   59      172.       93.
0   60      190.      149.
0   61      107.       79.
0   62       33.       84.
0   63       46.       20.
0   64      153.       43.
0   65       80.        1.
0   66      121.      177.
0   67       30.        4.
0   68       76.      146.
0   69       72.      111.
0   70      115.       14.
0   71       21.      178.
0   72      101.      107.
0   73       52.       81.
0   74       17.       13.
0   75       66.      165.
0   76       75.      164.
0   77       64.      114.
0   78       13.      173.
0   79       40.       59.
0   80      181.      123.
0   81       53.      187.
0   82       63.       19.
0   83      196.       95.
0   84       56.      101.
0   85      120.       55.
0   86       18.       28.
0   87       35.       23.
0   88       15.       18.
0   89      147.      118.
0   90       73.      162.
0   91       79.      189.
0   92      128.       44.
0   93      130.      143.
0   94       11.      120.
0   95      162.       29.
0   96      113.       99.
0   97       97.      172.
0   98       27.      150.
0   99      104.       64.
0  100       37.      176.
0  101      149.      136.
0  102      152.       21.
0  103      117.       27.
0  104      191.      133.
0  105       49.      156.
0  106       85.      182.
0  107      122.      200.
0  108       25.      138.
0  109      134.      196.
0  110        2.      155.
0  111       99.       30.
0  112       70.      113.
0  113      158.      140.
0  114      108.      126.
0  115      184.       53.
0  116      110.       83.
0  117      140.       78.
0  118       12.       32.
0  119      151.       49.
0  120      189.      190.
0  121      123.       16.
0  122      145.       77.
0  123       44.      193.
0  124      124.      129.
0  125      135.       74.
0  126       43.      198.
0  127       54.      115.
0  128       88.       63.
0  129      136.       51.
0  130       60.      119.
0  131       91.      125.
0  132      159.       37.
0  133       74.      151.
0  134       48.       48.
0  135       71.       10.
0  136       36.      184.
0  137       23.       92.
0  138      183.      161.
0  139       93.       41.
0  140      161.      128.
0  141        5.       96.
0  142       47.       22.
0  143       55.       87.
0  144       94.       31.
0  145       81.        8.
0  146       96.      148.
0  147       82.       47.
0  148       58.      180.
0  149      132.      108.
0  150      133.       25.
0  151      180.      195.
0  152      142.       91.
0  153       38.      152.
0  154       84.      169.
0  155       20.       45.
0  156      179.      102.
0  157       68.      192.
0  158      192.       39.
0  159      126.       34.
0  160      168.      191.
0  161      163.      117.
0  162      148.      131.
0  163      160.       75.
0  164      199.      160.
0  165      125.      141.
0  166       50.       68.
0  167       28.      188.
0  168       26.      144.
0  169      156.      147.
0  170        6.       67.
0  171      185.       46.
0  172      167.      167.
0  173       31.      104.
0  174       83.      145.
0  175      105.        2.
0  176       34.      134.
0  177      100.        7.
0  178      119.      158.
0  179      188.       70.
0  180       19.      139.
0  181      138.       80.
0  182       69.       73.
0  183       65.       58.
0  184       42.        9.
0  185      144.       36.
0  186       86.       57.
0  187      176.       35.
0  188      118.       40.
0  189       24.       24.
0  190       89.       33.
0  191       92.      194.
0  192      169.       62.
0  193      106.        6.
0  194      187.       94.
0  195       22.       86.
0  196      198.      116.
0  197        1.      168.
0  198      139.       12.
0  199      155.      159.
0  200        7.       72.
1   Pecos::LHSDriver                                                                                 RANDOM SAMPLE               
0  HISTOGRAM FOR VARIABLE NO.  1     UNIFORM DISTRIBUTION

     Midpoint          Freq.

   8.9999998E+04         8    XXXXXXXX
   9.2399998E+04        11    XXXXXXXXXXX
   9.4799998E+04        10    XXXXXXXXXX
   9.7199998E+04        10    XXXXXXXXXX
   9.9599998E+04         7    XXXXXXX
   1.0200000E+05        10    XXXXXXXXXX
   1.0440000E+05        12    XXXXXXXXXXXX
   1.0680000E+05        11    XXXXXXXXXXX
   1.0920000E+05        14    XXXXXXXXXXXXXX
   1.1160000E+05         9    XXXXXXXXX
   1.1400000E+05        11    XXXXXXXXXXX
   1.1640000E+05         7    XXXXXXX
   1.1880000E+05        12    XXXXXXXXXXXX
   1.2120000E+05         9    XXXXXXXXX
   1.2360000E+05         6    XXXXXX
   1.2600000E+05         9    XXXXXXXXX
   1.2840000E+05         7    XXXXXXX
   1.3080000E+05         8    XXXXXXXX
   1.3320000E+05        12    XXXXXXXXXXXX
   1.3560000E+05        10    XXXXXXXXXX
   1.3800000E+05         7    XXXXXXX
0                      200


      Min            Max           Range           Mean          Median        Variance

   9.0003931E+04  1.3794808E+05  4.7944153E+04  1.1340137E+05  1.1253024E+05  2.0444373E+08

1   Pecos::LHSDriver                                                                                 RANDOM SAMPLE               
0  HISTOGRAM FOR VARIABLE NO.  2     UNIFORM DISTRIBUTION

     Midpoint          Freq.

   3.5034999E-01        11    XXXXXXXXXXX
   3.5132999E-01         2    XX
   3.5230999E-01        10    XXXXXXXXXX
   3.5328999E-01         7    XXXXXXX
   3.5426999E-01         5    XXXXX
   3.5524999E-01         9    XXXXXXXXX
   3.5622999E-01        10    XXXXXXXXXX
   3.5720999E-01         9    XXXXXXXXX
   3.5818999E-01         9    XXXXXXXXX
   3.5916999E-01        10    XXXXXXXXXX
   3.6014999E-01        12    XXXXXXXXXXXX
   3.6112999E-01         9    XXXXXXXXX
   3.6210999E-01         9    XXXXXXXXX
   3.6308999E-01         9    XXXXXXXXX
   3.6406999E-01         8    XXXXXXXX
   3.6504999E-01        15    XXXXXXXXXXXXXXX
   3.6602999E-01        15    XXXXXXXXXXXXXXX
   3.6700999E-01        16    XXXXXXXXXXXXXXXX
   3.6798999E-01        14    XXXXXXXXXXXXXX
   3.6896999E-01         7    XXXXXXX
   3.6994999E-01         4    XXXX
0                      200


      Min            Max           Range           Mean          Median        Variance

   3.5025949E-01  3.6984957E-01  1.9590077E-02  3.6091181E-01  3.6128011E-01  3.1736424E-05

1Pecos::LHSDriver                                                                                 RANDOM SAMPLE               
0CORRELATIONS AMONG INPUT VARIABLES CREATED BY THE RANDOM SAMPLE FOR RAW DATA                                        PAGE   1
0    1  1.0000
0    2 -0.0046  1.0000
0            1       2
0VARIABLES
0THE VARIANCE INFLATION FACTOR FOR THIS MATRIX IS  1.00
1Pecos::LHSDriver                                                                                 RANDOM SAMPLE               
0CORRELATIONS AMONG INPUT VARIABLES CREATED BY THE RANDOM SAMPLE FOR RANK DATA                                        PAGE   1
0    1  1.0000
0    2 -0.0139  1.0000
0            1       2
0VARIABLES
0THE VARIANCE INFLATION FACTOR FOR THIS MATRIX IS  1.00
